Time,Data
0.0,120.0
0.02,117.93080241623647
0.04,119.18983559057124
0.06,121.52329389431932
0.08,123.47740568643924
0.1,124.06511394062862
0.12,126.43275666668261
0.14,128.52674706770222
0.16,130.8713644870556
0.18,132.27987831156955
0.2,133.5414290193469
0.22,135.59780773428255
0.24,137.33095785822889
0.26,138.08440885656717
0.28,139.77614020986317
0.3,140.96912451836963
0.32,141.68168155915959
0.34,142.4277165038701
0.36,143.34951624786044
0.38,144.210708211795
0.4,146.51079352332152
0.42,149.37897071512583
0.44,152.10572548319553
0.46,154.23232696056252
0.48,156.20087559879542
0.5,158.7043463316136
0.52,159.83662677581893
0.54,161.09255025293788
0.56,162.51792344439508
0.58,164.25954852353007
0.6,165.26523963915164
0.62,166.23383365741705
0.64,166.8651951014461
0.66,167.71021526104835
0.68,168.47080547806524
0.7000000000000001,168.79988464592074
0.72,169.65136099484891
0.74,170.53010826673304
0.76,170.6919364153671
0.78,170.5935569990553
0.8,170.19254346262107
0.8200000000000001,169.79728653493385
0.84,169.01694499581112
0.86,167.91139209246467
0.88,167.1411579103731
0.9,166.06736802645034
0.92,165.401678793497
0.9400000000000001,164.7562096240621
0.96,163.64347265888713
0.98,162.27630021996134
1.0,160.86777046080218
1.02,159.18113163681315
1.04,157.67972542640814
1.06,156.17690973898038
1.08,154.08598144870575
1.1,152.77009949358563
1.12,151.44220877705584
1.1400000000000001,149.864965304921
1.16,148.9506629833508
1.18,147.6611624942305
1.2,146.50782265234727
1.22,144.95143463478934
1.24,144.15215945660583
1.26,143.46946904832598
1.28,143.1120912704627
1.3,142.4879591777505
1.32,142.3041648217125
1.34,141.26691785435926
1.36,140.6815091685338
1.3800000000000001,140.00227978179322
1.4000000000000001,140.28259514091494
1.42,140.37482499331003
1.44,141.2803289399854
1.46,141.8994477524092
1.48,142.58150050287287
1.5,143.3747875249057
1.52,144.07659918716266
1.54,145.03323043116586
1.56,146.64000099052316
1.58,148.79128117695637
1.6,150.38052308683353
1.62,152.70029705109243
1.6400000000000001,154.84233312164116
1.6600000000000001,156.94756735869709
1.68,158.55619265623795
1.7,161.257713816946
1.72,163.39100656387117
1.74,166.64438015366517
1.76,168.85564323576364
1.78,171.81217258344432
