Time,Data
4.000000000000000083e-02,1.234774056864392549e+02
5.999999999999999778e-02,1.248781367287543560e+02
8.000000000000000167e-02,1.298335383668610632e+02
1.000000000000000056e-01,1.341288939539807927e+02
1.199999999999999956e-01,1.383498209612446033e+02
1.400000000000000133e-01,1.410823509366998394e+02
1.600000000000000033e-01,1.449130071138088169e+02
1.799999999999999933e-01,1.484288792289224830e+02
2.000000000000000111e-01,1.514176951230715531e+02
2.200000000000000011e-01,1.510678887216880071e+02
2.399999999999999911e-01,1.547686640064504786e+02
2.600000000000000089e-01,1.573100546162196451e+02
2.800000000000000266e-01,1.562829787388645002e+02
2.999999999999999889e-01,1.556792889825373152e+02
3.200000000000000067e-01,1.580918169434816321e+02
3.400000000000000244e-01,1.575144122175904897e+02
3.599999999999999867e-01,1.589419756345032511e+02
3.800000000000000044e-01,1.629704865258553923e+02
4.000000000000000222e-01,1.671970238731925065e+02
4.199999999999999845e-01,1.694197812158359397e+02
4.400000000000000022e-01,1.714380752344409586e+02
4.600000000000000200e-01,1.736523479619227146e+02
4.799999999999999822e-01,1.716641626096333084e+02
5.000000000000000000e-01,1.700761930329501297e+02
5.200000000000000178e-01,1.714922068965747144e+02
5.400000000000000355e-01,1.733170426356382734e+02
5.600000000000000533e-01,1.711565803439610249e+02
5.799999999999999600e-01,1.740177067553150607e+02
5.999999999999999778e-01,1.745082745171043257e+02
6.199999999999999956e-01,1.718370559883011310e+02
6.400000000000000133e-01,1.716136918245912852e+02
6.600000000000000311e-01,1.714486346432959181e+02
6.800000000000000488e-01,1.699530880885918123e+02
7.000000000000000666e-01,1.703389416436851604e+02
7.199999999999999734e-01,1.700187015607566821e+02
7.399999999999999911e-01,1.660054183015506055e+02
7.600000000000000089e-01,1.645126109013046403e+02
7.800000000000000266e-01,1.635541886861951468e+02
8.000000000000000444e-01,1.611443707895048760e+02
8.200000000000000622e-01,1.582976039242260242e+02
8.399999999999999689e-01,1.576284788797122189e+02
8.599999999999999867e-01,1.571516462172398292e+02
8.800000000000000044e-01,1.540817316438860871e+02
9.000000000000000222e-01,1.530332515459542151e+02
9.200000000000000400e-01,1.544205291622648133e+02
9.400000000000000577e-01,1.538576118739913170e+02
9.599999999999999645e-01,1.503581900813683205e+02
9.799999999999999822e-01,1.491355181285796618e+02
1.000000000000000000e+00,1.462023377264883663e+02
1.020000000000000018e+00,1.419708043086741043e+02
1.040000000000000036e+00,1.388524167395689233e+02
1.060000000000000053e+00,1.390579507744297985e+02
1.080000000000000071e+00,1.389973966495624609e+02
1.100000000000000089e+00,1.390799011577363729e+02
1.120000000000000107e+00,1.411137145382382698e+02
1.140000000000000124e+00,1.403061424836495803e+02
1.159999999999999920e+00,1.394635035363512259e+02
1.179999999999999938e+00,1.375910921171292500e+02
1.199999999999999956e+00,1.382931473962445068e+02
1.219999999999999973e+00,1.363728281841267460e+02
1.239999999999999991e+00,1.394321939846410316e+02
1.260000000000000009e+00,1.410721923188526148e+02
1.280000000000000027e+00,1.434926523915786731e+02
1.300000000000000044e+00,1.414922851369678085e+02
1.320000000000000062e+00,1.432686896430961383e+02
1.340000000000000080e+00,1.414183659193133451e+02
1.360000000000000098e+00,1.415367339340261879e+02
1.380000000000000115e+00,1.414181588149697006e+02
1.400000000000000133e+00,1.462559820689929779e+02
1.419999999999999929e+00,1.468425586441757389e+02
1.439999999999999947e+00,1.491692996238874969e+02
1.459999999999999964e+00,1.514267203103927386e+02
1.479999999999999982e+00,1.538044934249730034e+02
1.500000000000000000e+00,1.540915071224580970e+02
1.520000000000000018e+00,1.600759274906939709e+02
1.540000000000000036e+00,1.651452651799835394e+02
1.560000000000000053e+00,1.674864457840625960e+02
1.580000000000000071e+00,1.720858835728484451e+02
1.600000000000000089e+00,1.775295581581458180e+02
1.620000000000000107e+00,1.776030936568224945e+02
1.640000000000000124e+00,1.784918399017675199e+02
